time,source,model,member,apparent_temperature,cape,cloud_cover,cloud_cover_high,cloud_cover_low,cloud_cover_mid,convective_inhibition,dew_point_2m,diffuse_radiation,diffuse_radiation_instant,direct_normal_irradiance,direct_normal_irradiance_instant,direct_radiation,direct_radiation_instant,precipitation,rain,relative_humidity_2m,shortwave_radiation,shortwave_radiation_instant,sunshine_duration,temperature_2m,uv_index,uv_index_clear_sky,visibility,wind_gusts_10m,wind_speed_10m,timezone,uv_transmission,uv_attenuation,clearness_index,clearness_index_instant,direct_fraction,diffuse_fraction,direct_fraction_instant,diffuse_fraction_instant,sunshine_fraction,ghi_balance_error,ghi_balance_error_instant,sun_score_0_100,sun_score_evidence_weight
2026-09-22T00:00,ensemble_member,ncep_gefs025,0,69.8,0.0,0.0,,,,0.0,60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,67.5,,,79068.24,3.4,2.9,America/Los_Angeles,,,,,,,,,0.0,0.0,0.0,0.0,0.3
2026-09-22T01:00,ensemble_member,ncep_gefs025,0,69.5,0.0,0.0,,,,0.0,60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,67.5,,,79068.24,3.6,3.6,America/Los_Angeles,,,,,,,,,0.0,0.0,0.0,0.0,0.3
2026-09-22T02:00,ensemble_member,ncep_gefs025,0,69.3,0.0,2.0,,,,0.0,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,67.4,,,79068.24,3.8,3.9,America/Los_Angeles,,,,,,,,,0.0,0.0,0.0,0.0,0.3
2026-09-22T03:00,ensemble_member,ncep_gefs025,0,69.1,0.0,8.0,,,,0.0,60.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,67.1,,,79068.24,3.6,3.7,America/Los_Angeles,,,,,,,,,0.0,0.0,0.0,0.0,0.3
2026-09-22T04:00,ensemble_member,ncep_gefs025,0,68.9,0.0,15.0,,,,0.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,66.8,,,79068.24,3.4,3.6,America/Los_Angeles,,,,,,,,,0.0,0.0,0.0,0.0,0.3
2026-09-22T05:00,ensemble_member,ncep_gefs025,0,68.8,0.0,22.0,,,,0.0,60.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,66.7,,,79068.24,3.1,3.5,America/Los_Angeles,,,,,,,,,0.0,0.0,0.0,0.0,0.3
2026-09-22T06:00,ensemble_member,ncep_gefs025,0,68.7,0.0,28.0,,,,0.0,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,66.6,,,79068.24,2.9,3.5,America/Los_Angeles,,,,,,,,,0.0,0.0,0.0,0.0,0.3
2026-09-22T07:00,ensemble_member,ncep_gefs025,0,68.6,0.0,34.0,,,,0.0,60.5,4.0,34.9,0.0,0.0,0.0,0.0,0.0,0.0,81.0,4.0,34.9,0.0,66.5,,,79068.24,2.7,3.5,America/Los_Angeles,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4
2026-09-22T08:00,ensemble_member,ncep_gefs025,0,69.0,0.0,36.0,,,,0.0,60.3,69.2,115.7,279.5,467.4,43.8,73.3,0.0,0.0,79.0,113.0,189.0,3600.0,67.0,,,79068.24,2.7,3.6,America/Los_Angeles,,,,,0.38761061946902653,0.6123893805309735,0.3878306878306878,0.6121693121693121,1.0,0.0,0.0,62.2,0.4
2026-09-22T09:00,ensemble_member,ncep_gefs025,0,70.3,0.0,32.0,,,,0.0,60.2,128.2,162.1,489.0,618.0,176.8,223.4,0.0,0.0,75.0,305.0,385.4,3600.0,68.5,,,79068.24,2.7,3.8,America/Los_Angeles,,,,,0.579672131147541,0.420327868852459,0.5796574987026466,0.4206019719771666,1.0,0.0,-0.10000000000002274,75.8,0.4
